mission_number,church,city,state,date_start,date_end,year,decade,duration_days,duration_weeks,confessions,converts,order,lat,long,volume,page
NA,St. Thomas Aquinas's Church,Jamaica Plain,MA,1885-11-29,1885-12-13,1885,1880s,14,2 weeks or less,2770,0,Paulist,42.3097365,-71.1151431,3,179
NA,,Terre Haute,IN,1885-11-28,1885-12-02,1885,1880s,4,1 week or less,1000,7,Paulist,39.4667034,-87.4139092,3,181
NA,St. Lucy's Church,Syracuse,NY,1885-12-13,1885-12-21,1885,1880s,8,2 weeks or less,2527,0,Paulist,43.0481221,-76.1474244,3,182
NA,St. James's Church,New York,NY,1886-01-03,1886-01-17,1886,1880s,14,2 weeks or less,8700,11,Paulist,40.7143528,-74.0059731,3,183
NA,,Union Springs,NY,1886-01-10,1886-01-17,1886,1880s,7,1 week or less,300,1,Paulist,42.8397906,-76.6932818,3,184
NA,Church of the Immaculate Conception,New York,NY,1886-01-24,1886-02-21,1886,1880s,28,more than 3 weeks,11052,20,Paulist,40.7143528,-74.0059731,3,185
NA,Church of the Immaculate Conception,Washington,DC,1886-02-28,1886-03-09,1886,1880s,9,2 weeks or less,1774,6,Paulist,38.9072309,-77.0364641,3,189
21,St. Charles College,Ellicot City,MD,1886-02-23,1886-02-28,1886,1880s,5,1 week or less,50,0,Paulist,39.2673283,-76.7983067,3,190
22,,Phelps,NY,1886-03-07,1886-03-15,1886,1880s,8,2 weeks or less,250,0,Paulist,42.957564,-77.057471,3,191
23,St. Joseph's Church,New York,NY,1886-03-14,1886-03-28,1886,1880s,14,2 weeks or less,5900,4,Paulist,40.7143528,-74.0059731,3,192
24,,Mobile,AL,1886-02-28,1886-03-08,1886,1880s,8,2 weeks or less,900,4,Paulist,30.6943566,-88.0430541,3,195
25,Church of St. John the Baptist,New Orleans,LA,1886-03-01,1886-03-01,1886,1880s,0,1 week or less,4300,0,Paulist,29.9510658,-90.0715323,3,198
26,St. Bernard's Church,New York,NY,1886-04-04,1886-04-18,1886,1880s,14,2 weeks or less,5535,0,Paulist,40.7143528,-74.0059731,3,200
NA,Church of the Annunciation,Manhattanville,NY,1886-04-04,1886-04-11,1886,1880s,7,1 week or less,1500,0,Paulist,40.8169443,-73.9558333,3,201
NA,St. Teresa's Church,New York,NY,1886-04-11,1886-04-18,1886,1880s,7,1 week or less,2700,0,Paulist,40.7143528,-74.0059731,3,201
27,St. Mary's Church,Canandaigua,NY,1886-05-09,1886-05-17,1886,1880s,8,2 weeks or less,1760,4,Paulist,42.887535,-77.2816984,3,201
28,St. John's Cathedral,Milwaukee,WI,1886-05-02,1886-05-16,1886,1880s,14,2 weeks or less,2946,0,Paulist,43.0389025,-87.9064736,3,204
29,St. Mary's Star of the Sea,Long Branch,NY,1886-05-23,1886-05-30,1886,1880s,7,1 week or less,515,0,Paulist,40.3042778,-73.9923596,3,207
30,,Kenoska,WI,1886-05-23,1886-05-30,1886,1880s,7,1 week or less,750,0,Paulist,42.5847425,-87.8211854,3,208
31,,Goshen,NY,1886-05-30,1886-06-06,1886,1880s,7,1 week or less,680,0,Paulist,41.4020382,-74.3243191,3,211
NA,,Morristown,NJ,1886-05-01,1886-05-01,1886,1880s,0,1 week or less,800,0,Paulist,40.7967667,-74.4815438,3,211
NA,,West Point,NY,1886-09-12,1886-09-19,1886,1880s,7,1 week or less,375,0,Paulist,41.3914827,-73.9559721,3,214
NA,,Highland Falls,NY,1886-09-19,1886-09-26,1886,1880s,7,1 week or less,475,0,Paulist,41.3692605,-73.9662504,3,214
NA,Church of the Immaculate Conception,Minneapolis,MN,1886-09-19,1886-09-27,1886,1880s,8,2 weeks or less,2265,2,Paulist,44.983334,-93.26667,3,217
NA,St. Michael's Church,West St. Paul,MN,1886-09-26,1886-10-04,1886,1880s,8,2 weeks or less,721,0,Paulist,44.9160768,-93.1016074,3,218
NA,St. Thomas Aquinas's Church,Jamaica Plain,MA,1886-10-03,1886-10-17,1886,1880s,14,2 weeks or less,2700,2,Paulist,42.3097365,-71.1151431,3,219
NA,St. Paul's Cathedral,St. Paul,MN,1886-10-03,1886-10-17,1886,1880s,14,2 weeks or less,3203,2,Paulist,44.9537029,-93.0899578,3,220
NA,St. Thomas's Church,Winona,MN,1886-10-24,1886-10-31,1886,1880s,7,1 week or less,1140,4,Paulist,44.0478889,-91.6404389,3,222
NA,St. Ann's Church,Baltimore,MD,1886-10-24,1886-10-31,1886,1880s,7,1 week or less,920,2,Paulist,39.2903848,-76.6121893,3,223
NA,Church of the Sacred Heart,Waseca,MN,1886-10-24,1886-10-31,1886,1880s,7,1 week or less,675,0,Paulist,44.0770411,-93.5083843,3,224
NA,Church of the Sacred Heart,Owatonna,MN,1886-10-31,1886-11-07,1886,1880s,7,1 week or less,460,0,Paulist,44.0855572,-93.2259349,3,225
NA,St. Mary's Church,St. Paul,MN,1886-11-07,1886-11-16,1886,1880s,9,2 weeks or less,1651,3,Paulist,44.9537029,-93.0899578,3,226
NA,St. Paul's Church,Birmingham,AL,1886-11-07,1886-11-17,1886,1880s,10,2 weeks or less,500,5,Paulist,33.5206608,-86.80249,3,228
NA,St. Patrick's Church,Shieldsville,MN,1886-11-21,1886-11-28,1886,1880s,7,1 week or less,636,0,Paulist,44.3660744,-93.4088334,3,229
NA,St. Augustine's Church,Austin,MN,1886-11-21,1886-11-28,1886,1880s,7,1 week or less,700,0,Paulist,43.6666296,-92.9746367,3,231
NA,,"Oyster Bay, Long Island",NY,1886-10-24,1886-10-28,1886,1880s,4,1 week or less,294,0,Paulist,40.8656543,-73.5320685,3,232
NA,,"Huntington, Long Island",NY,1886-11-07,1886-11-14,1886,1880s,7,1 week or less,416,1,Paulist,40.8681539,-73.425676,3,232
NA,,Aurora,NY,1886-11-21,1886-11-28,1886,1880s,7,1 week or less,324,0,Paulist,42.7539591,-76.7024485,3,233
NA,St. Bernard's Church,New York,NY,1886-12-05,1886-12-12,1886,1880s,7,1 week or less,2700,0,Paulist,40.7143528,-74.0059731,3,233
NA,St. Peter's Church,Montgomery,AL,1886-11-21,1886-11-30,1886,1880s,9,2 weeks or less,495,2,Paulist,32.3668052,-86.2999689,3,234
NA,Church of the Immaculate Conception,Faribault,MN,1886-11-28,1886-12-05,1886,1880s,7,1 week or less,917,0,Paulist,44.2949636,-93.268827,3,236
NA,St. Anthony of Padua's Church,East Minneapolis,MN,1886-12-05,1886-12-13,1886,1880s,8,2 weeks or less,1818,6,Paulist,44.983334,-93.26667,3,237
NA,St. Michael's Church,Pensacola,FL,1886-12-05,1886-12-17,1886,1880s,12,2 weeks or less,875,20,Paulist,30.421309,-87.2169149,3,238
NA,St. Joseph's Church,St. Paul,MN,1886-12-19,1886-12-26,1886,1880s,7,1 week or less,1354,0,Paulist,44.9537029,-93.0899578,3,240
NA,,Farmington,MN,1886-12-19,1886-12-22,1886,1880s,3,1 week or less,145,1,Paulist,44.6402434,-93.1435497,3,242
NA,,Boston,MA,1887-01-09,1887-01-19,1887,1880s,10,2 weeks or less,1120,0,Paulist,42.3584308,-71.0597732,3,245
NA,St. Patrick's Church,Pittsburgh,PA,1887-01-09,1887-01-23,1887,1880s,14,2 weeks or less,2822,16,Paulist,40.4406248,-79.9958864,3,246
NA,St. Mary's Church,Honeoye,NY,1887-01-30,1887-02-13,1887,1880s,14,2 weeks or less,253,2,Paulist,42.7900604,-77.5166873,3,248
NA,St. William's Church,Conesus,NY,1887-01-30,1887-02-13,1887,1880s,14,2 weeks or less,120,3,Paulist,42.7189532,-77.6763859,3,248
NA,St. Michael's Church,Livonia,NY,1887-01-30,1887-02-13,1887,1880s,14,2 weeks or less,430,1,Paulist,42.8214525,-77.6686097,3,248
NA,,Honeoye Falls,NY,1887-01-30,1887-02-13,1887,1880s,14,2 weeks or less,355,1,Paulist,42.9522855,-77.5902759,3,249
NA,,East Rush,NY,1887-01-30,1887-02-13,1887,1880s,14,2 weeks or less,335,0,Paulist,42.9958962,-77.6455564,3,249
NA,St. Teresa's Church,New York,NY,1887-02-13,1887-03-13,1887,1880s,28,more than 3 weeks,6915,25,Paulist,40.7143528,-74.0059731,3,250
NA,Church of St. John the Evangelist,New York,NY,1887-03-12,1887-04-03,1887,1880s,22,more than 3 weeks,NA,0,Paulist,40.7143528,-74.0059731,3,252
NA,Church of the Annunciation,New York,NY,1887-03-20,1887-04-03,1887,1880s,14,2 weeks or less,2420,4,Paulist,40.7143528,-74.0059731,3,253
NA,,Seneca Falls,NY,1887-03-29,1887-04-03,1887,1880s,5,1 week or less,1870,2,Paulist,42.9106219,-76.7966215,3,254
NA,Church of the Sacred Heart,West Fitchburg,MA,1887-04-17,1887-04-24,1887,1880s,7,1 week or less,761,0,Paulist,42.5834228,-71.8022955,3,256
NA,St. Patrick's Church,Weston,WV,1887-04-17,1887-04-24,1887,1880s,7,1 week or less,253,0,Paulist,39.0384274,-80.467313,3,257
NA,St. Boniface Church,Leading Creek,WV,1887-04-25,1887-04-25,1887,1880s,0,1 week or less,164,0,Paulist,39.0013239,-80.8056079,3,258
NA,St. Matthew's Church,Shullsburg,WI,1887-05-01,1887-05-08,1887,1880s,7,1 week or less,830,1,Paulist,42.5733354,-90.23096,3,259
NA,St. Augustine's Church,Brooklyn,NY,1887-04-17,1887-05-08,1887,1880s,21,3 weeks or less,3655,0,Paulist,40.65,-73.95,3,260
NA,,Wyandotte,MI,1887-05-08,1887-05-15,1887,1880s,7,1 week or less,43,1,Paulist,42.2142064,-83.1499239,3,262
NA,St. John's Church,"Dayton's Bluff, St. Paul",MN,1887-05-15,1887-05-22,1887,1880s,7,1 week or less,709,0,Paulist,44.9543909,-93.0626284,3,263
NA,,Luverne,MN,1887-05-22,1887-05-29,1887,1880s,7,1 week or less,180,0,Paulist,43.6555249,-96.2025289,3,264
NA,,Ellsworth,MN,1887-05-29,1887-05-29,1887,1880s,0,1 week or less,100,0,Paulist,43.518023,-96.018356,3,265
NA,Church of St. Mary of the Assumption,"Port Richmond, Staten Island",NY,1887-05-22,1887-05-29,1887,1880s,7,1 week or less,NA,0,Paulist,40.6354914,-74.1254641,3,266
NA,,Seabright,NJ,1887-05-29,1887-06-06,1887,1880s,8,2 weeks or less,180,0,Paulist,39.8244272,-74.1965386,3,266
NA,St. Michael's Church,Stillwater,MN,1887-06-05,1887-06-18,1887,1880s,13,2 weeks or less,1100,3,Paulist,45.056004,-92.8088443,3,268
NA,Church of the Sacred Heart,Bridgeport,CT,1887-09-11,1887-09-20,1887,1880s,9,2 weeks or less,1600,1,Paulist,41.1865478,-73.1951767,3,272
NA,St. Augustine's Church,Union Hill,NJ,1887-09-01,1887-09-01,1887,1880s,0,1 week or less,652,0,Paulist,40.8559326,-74.520156600000007,3,273
NA,Church of Our Lady of the Sacred Heart,Chelsea,MI,1887-09-18,1887-09-25,1887,1880s,7,1 week or less,550,1,Paulist,42.3180919,-84.0205029,3,274
NA,St. Mary's Church,Pinckney,MI,1887-09-20,1887-10-02,1887,1880s,12,2 weeks or less,445,1,Paulist,42.4567013,-83.9463358,3,275
NA,,Bethel,CT,1887-09-25,1887-10-02,1887,1880s,7,1 week or less,430,1,Paulist,41.3712283,-73.4139621,3,277
NA,St. Rose's Church,Lima,NY,1887-10-02,1887-10-09,1887,1880s,7,1 week or less,812,0,Paulist,42.9047857,-77.6113869,3,278
NA,St. Joseph's Church,West Bloomfield,NY,1887-10-08,1887-10-12,1887,1880s,4,1 week or less,228,0,Paulist,42.9058971,-77.5391622,3,279
NA,,Lenox,MA,1887-10-09,1887-10-23,1887,1880s,14,2 weeks or less,765,2,Paulist,42.3564609,-73.2848762,3,280
NA,,Lee,MA,1887-10-09,1887-10-23,1887,1880s,14,2 weeks or less,1070,1,Paulist,42.3042151,-73.2481951,3,280
NA,,South Lee,MA,1887-10-09,1887-10-23,1887,1880s,14,2 weeks or less,100,0,Paulist,42.2778653,-73.2773294,3,280
NA,,Ithaca,NY,1887-10-09,1887-10-23,1887,1880s,14,2 weeks or less,1482,3,Paulist,42.4439614,-76.5018807,3,282
NA,,Cayuga,NY,1887-10-24,1887-10-28,1887,1880s,4,1 week or less,300,0,Paulist,42.9189555,-76.7263397,3,284
NA,,Avon,NY,1887-10-30,1887-11-06,1887,1880s,7,1 week or less,825,3,Paulist,42.9120072,-77.7455583,3,285
NA,St. Mary's Church,Westfield,MA,1887-10-30,1887-11-06,1887,1880s,7,1 week or less,1314,1,Paulist,42.1250929,-72.749538,3,286
NA,,Penn Yan,NY,1887-11-13,1887-11-20,1887,1880s,7,1 week or less,1025,4,Paulist,42.6609026,-77.0538577,3,287
NA,Church of the Transfiguration,New York,NY,1887-11-13,1887-11-20,1887,1880s,7,1 week or less,2540,0,Paulist,40.7143528,-74.0059731,3,288
NA,,Greenport,NY,1887-10-23,1887-10-30,1887,1880s,7,1 week or less,300,1,Paulist,41.1034326,-72.3592501,3,290
NA,,Glen Cove,NY,1887-11-06,1887-11-13,1887,1880s,7,1 week or less,830,0,Paulist,40.8623217,-73.6337389,3,290
NA,,Sag Harbor,NY,1887-11-27,1887-12-04,1887,1880s,7,1 week or less,600,0,Paulist,40.9978773,-72.2925819,3,291
NA,St. Stephen's Church,Pittsburgh,PA,1887-11-27,1887-12-11,1887,1880s,14,2 weeks or less,1325,3,Paulist,40.4406248,-79.9958864,3,292
NA,St. Andrew's Church,New York,NY,1887-12-04,1887-12-20,1887,1880s,16,3 weeks or less,3022,5,Paulist,40.7143528,-74.0059731,3,293
NA,,Far Rockaway,NY,1888-01-15,1888-01-22,1888,1880s,7,1 week or less,511,0,Paulist,40.5998931,-73.7448437,3,294
NA,St. Mary's Church,Norfolk,VA,1888-01-08,1888-01-19,1888,1880s,11,2 weeks or less,810,0,Paulist,36.8507689,-76.2858726,3,295
NA,St. Patrick's Church,Lockport,NY,1888-01-22,1888-01-29,1888,1880s,7,1 week or less,1435,0,Paulist,43.1706128,-78.6903098,3,296
NA,Church of St. Paul the Apostle,New York,NY,1888-01-29,1888-02-12,1888,1880s,14,2 weeks or less,8396,4,Paulist,40.7143528,-74.0059731,3,297
NA,,Macedon,NY,1888-02-05,1888-02-13,1888,1880s,8,2 weeks or less,440,1,Paulist,43.0692299,-77.2988746,3,297
NA,St. Paul's Church,Harlem,NY,1888-02-19,1888-03-04,1888,1880s,14,2 weeks or less,3435,12,Paulist,40.8115504,-73.9464769,3,298
NA,Church of the Sacred Heart,Worcester,MA,1888-02-19,1888-03-04,1888,1880s,14,2 weeks or less,2678,1,Paulist,42.2625932,-71.8022934,3,299
NA,,Lyons,NY,1888-03-11,1888-03-19,1888,1880s,8,2 weeks or less,465,0,Paulist,43.0642305,-76.9902456,3,301
NA,,Newark,NY,1888-03-11,1888-03-19,1888,1880s,8,2 weeks or less,350,0,Paulist,43.0467301,-77.0952516,3,301
NA,Church of St. John the Evangelist,New York,NY,1888-03-11,1888-03-25,1888,1880s,14,2 weeks or less,5300,0,Paulist,40.7143528,-74.0059731,3,303
NA,,Morrisania,NY,1888-04-08,1888-04-15,1888,1880s,7,1 week or less,1075,5,Paulist,40.8250663,-73.9109977,3,304
NA,,West Farms,NY,1888-04-08,1888-04-15,1888,1880s,7,1 week or less,318,0,Paulist,40.8430609,-73.8816001,3,304
NA,St. Bernard's Church,Fitchburg,MA,1888-04-08,1888-04-22,1888,1880s,14,2 weeks or less,1291,0,Paulist,42.5834228,-71.8022955,3,305
NA,St. Leo's Church,Leominster,MA,1888-04-08,1888-04-15,1888,1880s,7,1 week or less,960,0,Paulist,42.5250906,-71.759794,3,306
NA,,Newburyport,MA,1888-04-22,1888-05-07,1888,1880s,15,3 weeks or less,2377,0,Paulist,42.8125913,-70.8772751,3,307
NA,St. Elizabeth's Church,Chicago,IL,1888-04-22,1888-05-06,1888,1880s,14,2 weeks or less,1985,1,Paulist,41.8781136,-87.6297982,3,309
NA,,Morristown,NJ,1888-05-13,1888-05-28,1888,1880s,15,3 weeks or less,1727,0,Paulist,40.7967667,-74.4815438,3,310
NA,,West Stockbridge,MA,1888-05-14,1888-05-20,1888,1880s,6,1 week or less,686,1,Paulist,42.3338097,-73.3677582,3,312
NA,,Stockbridge,MA,1888-05-20,1888-05-27,1888,1880s,7,1 week or less,452,0,Paulist,42.2875874,-73.3203862,3,313
NA,,Galesburg,IL,1888-05-14,1888-05-20,1888,1880s,6,1 week or less,1020,0,Paulist,40.9478158,-90.3712395,3,314
NA,,Wyandotte,MI,1888-05-22,1888-05-28,1888,1880s,6,1 week or less,600,0,Paulist,42.2142064,-83.1499239,3,315
NA,,Suffern,NJ,1888-06-03,1888-06-10,1888,1880s,7,1 week or less,180,3,Paulist,41.1148179,-74.1495889,3,316
NA,,Tuxedo Park,NJ,1888-06-10,1888-06-16,1888,1880s,6,1 week or less,97,0,Paulist,41.2013889,-74.2016667,3,316
NA,St. Bridget's Church,Rochester,NY,1888-09-09,1888-09-17,1888,1880s,8,2 weeks or less,1550,0,Paulist,43.16103,-77.6109219,3,318
NA,Church of the Holy Apostles,Rochester,NY,1888-09-16,1888-09-23,1888,1880s,7,1 week or less,1020,13,Paulist,43.16103,-77.6109219,3,320
NA,St. Michael's Church,Frostburg,MD,1888-09-16,1888-09-23,1888,1880s,7,1 week or less,1232,1,Paulist,39.6581424,-78.928357,3,321
NA,,Westport,CT,1888-09-16,1888-09-24,1888,1880s,8,2 weeks or less,500,0,Paulist,41.1414717,-73.3579049,3,323
NA,St. Patrick's Church,Mt. Savage,MD,1888-09-23,1888-09-30,1888,1880s,7,1 week or less,478,1,Paulist,39.6956417,-78.8797442,3,325
NA,St. Thomas's Church,Mooresville,MD,1888-10-04,1888-10-10,1888,1880s,6,1 week or less,36,0,Paulist,39.6920767,-78.0316969,3,327
NA,St. Peter's Church,Hancock,MD,1888-09-30,1888-10-06,1888,1880s,6,1 week or less,204,0,Paulist,39.6989809,-78.1797293,3,328
NA,,Little Orleans,MD,1888-10-07,1888-10-10,1888,1880s,3,1 week or less,96,0,Paulist,39.625925,-78.3864002,3,330
NA,Church of the Immaculate Conception,Brooklyn,NY,1888-09-30,1888-10-14,1888,1880s,14,2 weeks or less,2470,8,Paulist,40.65,-73.95,3,332
NA,St. Mary's Church,Davenport,IA,1888-10-07,1888-10-14,1888,1880s,7,1 week or less,715,5,Paulist,41.5236437,-90.5776367,3,335
NA,St. Joseph's Church,Rock Island,IL,1888-10-14,1888-10-21,1888,1880s,7,1 week or less,860,3,Paulist,41.5094771,-90.5787476,3,336
NA,St. Anthony's Church,Davenport,IA,1888-10-21,1888-10-29,1888,1880s,8,2 weeks or less,980,2,Paulist,41.5236437,-90.5776367,3,338
NA,St. Ignatius's Church,Hickory,IN,1888-10-21,1888-10-28,1888,1880s,7,1 week or less,420,3,Paulist,41.4281251,-87.1719823,3,339
NA,,Bergen Point,NJ,1888-10-21,1888-11-04,1888,1880s,14,2 weeks or less,3890,10,Paulist,40.6476033,-74.1412543,3,340
NA,St. Matthias's Church,Muscatine,IA,1888-11-04,1888-11-12,1888,1880s,8,2 weeks or less,720,0,Paulist,41.424473,-91.0432051,3,343
NA,St. Joseph's Church,Weedsport,NY,1888-11-11,1888-11-18,1888,1880s,7,1 week or less,416,1,Paulist,43.048677,-76.5627197,3,344
NA,St. John's Church,Port Byron,NY,1888-11-18,1888-11-21,1888,1880s,3,1 week or less,128,3,Paulist,43.0345099,-76.6238343,3,345
NA,St. Michael's Church,Montezuma,NY,1888-11-22,1888-11-25,1888,1880s,3,1 week or less,165,2,Paulist,43.010065,-76.7032833,3,346
NA,Church of Our Lady of Perpetual Help,Defiance,OH,1888-11-18,1888-11-26,1888,1880s,8,2 weeks or less,640,0,Paulist,41.2844933,-84.3557802,3,347
NA,Church of Ss. Peter and Paul,Brooklyn,NY,1888-11-11,1888-11-25,1888,1880s,14,2 weeks or less,4070,8,Paulist,40.65,-73.95,3,348
NA,,Rye,NY,1888-12-02,1888-12-09,1888,1880s,7,1 week or less,394,0,Paulist,40.9806535,-73.6837399,3,350
NA,Church of the Holy Innocents,New York,NY,1888-12-09,1888-12-23,1888,1880s,14,2 weeks or less,4712,5,Paulist,40.7143528,-74.0059731,3,352
NA,,Far Rockaway,NY,1888-12-30,1889-01-01,1888,1880s,2,1 week or less,485,0,Paulist,40.5998931,-73.7448437,3,354
NA,St. Agne's Church,New York,NY,1889-01-06,1889-01-20,1889,1880s,14,2 weeks or less,5804,6,Paulist,40.7143528,-74.0059731,3,356
NA,Church of the Holy Name,Newburgh,OH,1889-01-06,1889-01-20,1889,1880s,14,2 weeks or less,2685,1,Paulist,40.0092839,-82.9409387,3,359
NA,Church of the Holy Cross,Marine City,MI,1889-01-27,1889-02-03,1889,1880s,7,1 week or less,1250,3,Paulist,42.7194778,-82.492132,3,360
NA,Sing Sing Prison,Ossining,NY,1889-01-27,1889-02-03,1889,1880s,7,1 week or less,580,0,Paulist,41.1628731,-73.8615246,3,362
NA,St. Joseph's Church,Jersey City Heights,NJ,1889-01-21,1889-02-10,1889,1880s,20,3 weeks or less,3273,4,Paulist,40.7473758,-74.0505752,3,364
NA,Church of the Epiphany,New York,NY,1889-02-17,1889-03-03,1889,1880s,14,2 weeks or less,4957,0,Paulist,40.7143528,-74.0059731,3,368
NA,St. Teresa's Church,New York,NY,1889-03-10,1889-04-07,1889,1880s,28,more than 3 weeks,7131,0,Paulist,40.7143528,-74.0059731,3,370
NA,,Gloucester,MA,1889-03-24,1889-04-07,1889,1880s,14,2 weeks or less,2900,4,Paulist,42.6159285,-70.6619888,3,373
NA,St. Matthew's Church,Washington,DC,1889-04-07,1889-04-14,1889,1880s,7,1 week or less,1000,0,Paulist,38.9072309,-77.0364641,3,375
NA,St. Patrick's Church,Wyandotte,MI,1889-04-14,1889-04-21,1889,1880s,7,1 week or less,895,0,Paulist,42.2142064,-83.1499239,3,376
NA,St. Joseph's Church,Trenton,MI,1889-04-14,1889-04-21,1889,1880s,7,1 week or less,475,5,Paulist,42.1394858,-83.1782587,3,376
NA,St. Ann's Church,Palmyra,NY,1889-04-28,1889-05-05,1889,1880s,7,1 week or less,455,0,Paulist,43.0639521,-77.2333154,3,376
NA,,West Point,NY,1889-05-19,1889-06-02,1889,1880s,14,2 weeks or less,366,0,Paulist,41.3914827,-73.9559721,3,379
NA,,Highland Falls,NY,1889-05-19,1889-06-02,1889,1880s,14,2 weeks or less,433,2,Paulist,41.3692605,-73.9662504,3,379
NA,St. Paul's Cathedral,Pittsburgh,PA,1889-04-24,1889-05-12,1889,1880s,18,3 weeks or less,6980,20,Paulist,40.4406248,-79.9958864,3,382
NA,,Short Hills,NJ,1889-06-09,1889-06-16,1889,1880s,7,1 week or less,417,1,Paulist,40.7483499,-74.3232194,3,385
NA,,Mt. Pleasant,IA,1889-05-12,1889-05-19,1889,1880s,7,1 week or less,425,0,Paulist,40.9716959,-91.5487714,3,387
NA,,Streator,IL,1889-05-26,1889-06-02,1889,1880s,7,1 week or less,NA,2,Paulist,41.1208668,-88.835352,3,389
NA,St. John's Church,Worcester,MA,1889-05-19,1889-06-02,1889,1880s,14,2 weeks or less,6000,1,Paulist,42.2625932,-71.8022934,3,390
NA,,Mystic Bridge,CT,1889-06-05,1889-06-16,1889,1880s,11,2 weeks or less,285,0,Paulist,41.4400788,-71.9109282,3,392
NA,,Stonington,CT,1889-06-05,1889-06-16,1889,1880s,11,2 weeks or less,450,0,Paulist,41.3358915,-71.9058854,3,392
NA,,Pontiac,IL,1889-06-02,1889-06-09,1889,1880s,7,1 week or less,365,0,Paulist,40.8808666,-88.6297839,3,394
NA,,Flanagan,IL,1889-06-09,1889-06-15,1889,1880s,6,1 week or less,250,0,Paulist,40.878089,-88.8611818,3,395
NA,St. Rose's Church,Chelsea,MA,1889-09-08,1889-09-23,1889,1880s,15,3 weeks or less,4006,2,Paulist,42.3917638,-71.0328284,4,52
NA,St. Peter's Church,Belleville,NJ,1889-09-15,1889-09-22,1889,1880s,7,1 week or less,1205,0,Paulist,40.7936744,-74.1500469,4,55
NA,,Irvington,NJ,1889-09-22,1889-09-26,1889,1880s,4,1 week or less,300,0,Paulist,40.7263249,-74.2286435,4,56
NA,,Tarrytown,NY,1889-09-29,1889-10-06,1889,1880s,7,1 week or less,1277,0,Paulist,41.0762077,-73.8587461,4,58
NA,St. Mary's Church,Ticonderoga,NY,1889-09-30,1889-10-06,1889,1880s,6,1 week or less,475,0,Paulist,43.8486707,-73.4234531,4,60
NA,St. Augustine's Church,Sing Sing,NY,1889-10-06,1889-10-13,1889,1880s,7,1 week or less,1493,0,Paulist,42.1719586,-76.8910257,4,61
NA,St. Bernard's Church,Rockville,CT,1889-10-20,1889-11-03,1889,1880s,14,2 weeks or less,2004,1,Paulist,41.8667645,-72.4495287,4,62
NA,St. John's Church,Concord,MA,1889-09-29,1889-10-07,1889,1880s,8,2 weeks or less,1665,1,Paulist,42.4603719,-71.3489484,4,64
NA,St. James's Church,Boston,MA,1889-10-13,1889-11-10,1889,1880s,28,more than 3 weeks,8200,0,Paulist,42.3584308,-71.0597732,4,66
NA,Church of the Assumption,Evansville,IN,1889-10-13,1889-10-21,1889,1880s,8,2 weeks or less,700,0,Paulist,37.9715592,-87.5710898,4,69
NA,Church of St. Lawrence,Muncie,IN,1889-10-27,1889-11-03,1889,1880s,7,1 week or less,2125,6,Paulist,40.1933767,-85.3863599,4,73
NA,St. Paul's Church,Noblesville,IN,1889-11-10,1889-11-17,1889,1880s,7,1 week or less,83,0,Paulist,40.0455917,-86.0085955,4,77
NA,St. Mary's Church,Anderson,IN,1889-11-17,1889-11-22,1889,1880s,5,1 week or less,525,6,Paulist,40.1053196,-85.6802541,4,81
NA,,North Warren,MA,1889-11-17,1889-11-25,1889,1880s,8,2 weeks or less,1450,0,Paulist,42.2125423,-72.191185,4,83
NA,St. Mary's Church,Charlestown,MA,1889-11-17,1889-12-01,1889,1880s,14,2 weeks or less,4466,0,Paulist,42.3782065,-71.0602131,4,85
NA,St. Patrick's Church,Washington,DC,1889-12-01,1889-12-10,1889,1880s,9,2 weeks or less,1250,5,Paulist,38.9072309,-77.0364641,4,87
NA,St. Agnes's Church,Pittsburgh,PA,1890-01-01,1890-01-19,1890,1890s,18,3 weeks or less,2720,3,Paulist,40.4406248,-79.9958864,4,90
NA,,Rye,NY,1889-11-10,1889-11-17,1889,1880s,7,1 week or less,450,0,Paulist,40.9806535,-73.6837399,4,93
NA,Church of the Transfiguration,Brooklyn,NY,1889-12-08,1889-12-22,1889,1880s,14,2 weeks or less,2972,0,Paulist,40.65,-73.95,4,94
NA,Church of St. Rose of Lima,New York,NY,1890-01-05,1890-01-19,1890,1890s,14,2 weeks or less,4192,5,Paulist,40.7143528,-74.0059731,4,96
NA,St. Mary's Church,Genesee,NY,1890-01-26,1890-02-02,1890,1890s,7,1 week or less,535,3,Paulist,42.9837843,-78.1564432,4,98
NA,St. Patrick's Church,Augusta,GA,1890-01-12,1890-01-26,1890,1890s,14,2 weeks or less,1235,1,Paulist,33.4734978,-82.0105148,4,99
NA,,Washington,GA,1890-01-26,1890-01-26,1890,1890s,0,1 week or less,150,0,Paulist,33.7367948,-82.7393089,4,102
NA,St. Joseph's Church,Springfield,IL,1890-01-26,1890-02-02,1890,1890s,7,1 week or less,930,3,Paulist,39.7817213,-89.6501481,4,103
NA,Church of the Immaculate Conception,Springfield,IL,1890-02-02,1890-02-11,1890,1890s,9,2 weeks or less,2900,2,Paulist,39.7817213,-89.6501481,4,105
NA,Cathedral of Our Lady of Perpetual Help,Savannah,GA,1890-02-02,1890-02-16,1890,1890s,14,2 weeks or less,2343,3,Paulist,32.0835407,-81.0998342,4,108
NA,St. Gabriel's Church,New York,NY,1890-02-09,1890-03-09,1890,1890s,28,more than 3 weeks,9520,11,Paulist,40.7143528,-74.0059731,4,110
