city,state,church,organized,members,minister,citation,jlat,jlon,url
Lanesboro,MA,,1764,54,C. Eddy,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.5173058,-73.2281596,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Peru,MA,,1770,167,J. Knight,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4381417,-73.0459339,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Pittsfield,MA,First Church,1764,627,J. Todd,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4542590207,-73.2450725314,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Pittsfield,MA,Colored,1846,14,S. Harrison,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4432203208,-73.2370381259,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Pittsfield,MA,South,1850,173,S. Harris,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4468702085,-73.2515357563,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Richmond,MA,,1765,70,A. A. Whitmore,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.3729519,-73.3676804,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Washington,MA,,1760,30,E. L. Clark,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.36592,-73.116214,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Williamston,MA,[First Congregational Church],1765,290,A. Peters,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.7123063834,-73.2012908452,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Williamston,MA,South,1835,44,J. Bascom,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.7064202893,-73.2149124057,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Williamston,MA,College,1834,43,M. Hopkins,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.7068871066,-73.2062283834,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Windsor,MA,,1772,45,C. Peabody,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.5090217,-73.0457124,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Canaan,NY,,NA,88,J. Wickens,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4113081665,-73.4511536628,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Alford,MA,,1846,28,T. Woodbridge,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.2356442,-73.4134456,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Becket,MA,First Church,1759,80,Z. Whitemore,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3237106132,-73.0753710383,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Egremont,MA,,1816,76,E. Clark,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.184722,-73.414444,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Great Barrington,MA,,1753,216,N. Greely,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.1959798,-73.362008,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Housatonic,MA,,1841,107,,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.2542548,-73.3662214,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Lee,MA,,1780,367,Nahum Gale,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3042151,-73.2481951,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Lenox,MA,,1769,219,Harvey Neill,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3564609,-73.2848762,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Monterey,MA,,1750,94,Samuel Howe,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.1792563,-73.2120526,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
New Marlboro,MA,First Church,1744,126,Richard T. Searl,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3438644169,-71.5610936203,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
New Marlboro,MA,Southfield,1794,65,Otis Lombard,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3501818926,-71.5527320723,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Otis,MA,,1795,88,Henry A. Austin,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.1930224,-73.0919689,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Sandisfield,MA,,1756,208,Aaron Pickett,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.1125914,-73.1431637,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Sheffield,MA,,1735,223,,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.1099885,-73.3551436,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Stockbridge,MA,[First Congregational Church],1734,220,A. H. Dahiell Jr.,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.2903291931,-73.3278925391,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Stockbridge,MA,Curtisville,1724,62,Winthrop H. Phelps,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.289028501,-73.3303580812,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
West Stockbridge,MA,Center,1789,85,Sidney Bryant,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3342683864,-73.3568158667,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
West Stockbridge,MA,Village,1832,120,,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3340999153,-73.3625493015,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Austerlitz,NY,,1792,61,Samuel Utley,The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47),42.3117536,-73.4731684,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Chatham,MA,,1710,146,N. S. Dickinson,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.5667,-72.5,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Dennis,MA,South,1807,122,I. C. Thacher,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.7353062,-70.1939429,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Eastham,MA,,1676,48,E. Chace,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.8299634,-69.9740361,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Harwich,MA,,1744,112,M. H. Wilder,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.686111,-70.076389,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Orleans,MA,,1719,140,J. White,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.7898354,-69.9897323,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Provincetown,MA,,1714,38,O. Myrick,The Year-book of the American Congregational Union for the Year 1854 (p. 47),42.0584412,-70.1786425,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Sandwich,MA,Puritan Congregationalist Church,1847,39,Giles Pease,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.755104928,-70.4908913202,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Truro,MA,[First Congregational Church],1711,103,E. W. Noble,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.9858403989,-70.051484732,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Truro,MA,North,1842,22,S. J. M. Lord,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.9979331967,-70.0549688984,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Wellfleet,MA,[First Congregational Church],1730,223,George Denham,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.9322220213,-70.0344389368,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Wellfleet,MA,South,1833,142,E. Dow,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.9223212374,-70.0247375672,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Yarmouth,MA,[First Congregational Church],1639,126,A. K. Packard,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.708617496,-70.2259511882,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Yarmouth,MA,West,1840,50,J. H. Wells,The Year-book of the American Congregational Union for the Year 1854 (p. 47),41.6992666569,-70.2207098439,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Bridgewater,MA,Trinity Church,1821,96,D. Brigham,The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48),41.9879309531,-70.965811398,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Bridgewater,MA,Scotland Church,1836,32,J. D. Farnsworth,The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48),41.9861656815,-70.9853547681,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
E. Bridgewater,MA,Trinity Church,1849,37,B. Sanford,The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48),42.0334341,-70.9592096,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Middleboro,MA,First Church,1694,184,I. W. Putnam,The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48),41.8999587883,-70.919852742,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Middleboro,MA,West,1725,143,C. Chapman,The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48),41.8929995537,-70.922808227,https://archive.org/stream/americancongrega04amer#page/47/mode/1up
Brimfield,MA,,1725,204,Jason Morse,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.1225482,-72.2005059,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Brookfield,MA,,1756,130,J. K. Bragg,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2139817,-72.1022991,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Charlton,MA,,1760,86,John Haven,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.13565,-71.970074,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Dana,MA,Centre,1852,21,John Keep,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.4178409,-72.2336875,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Dudley,MA,,1732,127,Joshua Bates,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.0433661,-71.9276033,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Hardwick,MA,,1736,91,Martyn Tupper,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.35,-72.2,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Holland,MA,,1765,47,Alvah C. Paige,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.0639524,-72.1572885,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
New Braintree,MA,,1754,114,John Fiske,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.3167581,-72.1259114,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
North Brookfield,MA,,1752,301,Thomas Snell; C. Cushing,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2685574,-72.08504,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Oakham,MA,,1767,230,James Kimball,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.3527105,-72.0449783,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Southbridge,MA,,1801,204,Eber Carpenter,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.0751065,-72.0333905,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Spencer,MA,,1744,108,,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2439682,-71.9922867,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Sturbridge,MA,,1736,289,M. Beebee,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.1084122,-72.0787059,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Ware,MA,[First Congregational Church],1751,134,David N. Coburn,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2627778371,-72.2342482207,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Ware,MA,Village,1826,221,T. G. Colton,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2517603669,-72.238132103,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Warren,MA,,1743,142,I. H. Northrup,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2125423,-72.191185,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
West Brookfield,MA,,1717,222,G. Byington,The Year-book of the American Congregational Union for the Year 1854 (p. 48),42.2353463,-72.1411642,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Amesbury,MA,Mills,1831,209,,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8522419775,-70.9352088403,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Amesbury,MA,West,1726,186,A. Paine,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8610897491,-70.9397968969,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Amesbury,MA,and Salisbury,1835,72,J. M. Bacon,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8646721389,-70.9237502476,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Boxford,MA,West,1732,75,C. E. Park,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.6548300062,-70.996305307,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Bradford,MA,First Church,1682,191,,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7695348,-71.0758905,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Georgetown,MA,,1732,158,Isaac Braman; J. M. Prince,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7250918,-70.9911659,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Groveland,MA,,1728,NA,G. B. Perry,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7603688,-71.0314451,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Haverhill,MA,Centre,1833,172,B. F. Hosford,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7848511782,-71.0838025811,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Haverhill,MA,North,1730,NA,C. Tenney,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7762399265,-71.0702748477,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Haverhill,MA,East,1743,29,Wales Lewis,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7720936858,-71.0831103322,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Haverhill,MA,West,1735,111,A. Farwell,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.770460446,-71.0854589021,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Haverhill,MA,Winter Street Church,1839,72,L. S. Parkes,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7810486489,-71.0725415951,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Ipswich,MA,First Church,1634,NA,D. T. Kimball; R. Southgate,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.6736236529,-70.8415377976,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Ipswich,MA,Linebrook,1849,77,W. Holbrook,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.6877152526,-70.8309080104,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newbury,MA,First Church,1635,NA,L. Withington,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7660407725,-70.8412777278,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newbury,MA,Byfield Church,1706,111,F. V. Tenney,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7591468983,-70.8567901271,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newburyport,MA,Belleville,1808,180,D. T. Fiske,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8196336787,-70.8852219432,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newburyport,MA,North Church,1768,346,L. F. Dimmick,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8077097416,-70.8854870472,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newburyport,MA,Temple Street Church,1793,NA,R. Campbell,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8181341529,-70.8889698205,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Newburyport,MA,Whitefield Church,1850,122,S. J. Spaulding,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8066776805,-70.8803698788,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Rowley,MA,,1639,149,John Pike,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7167483,-70.8787277,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Salisbury,MA,,1718,NA,B. Sawyer,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.841723,-70.8605982,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
W. Newbury,MA,First Church,1698,NA,,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.8042481269,-70.9952636015,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
W. Newbury,MA,Second Church,1731,161,J. Q. A. Edgell,The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49),42.7933061736,-70.9937454533,https://archive.org/stream/americancongrega04amer#page/48/mode/1up
Beverly,MA,Washington Street Church,1837,128,A. B. Rich,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5666528423,-70.8807191952,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Danvers,MA,Second Church,1713,257,,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5662605629,-70.928010205,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Danvers,MA,Third Church,1844,81,James Fletcher,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5811480621,-70.9277535534,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Essex,MA,,1681,150,R. Crowell,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6319582,-70.7829315,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Gloucester,MA,Harbor,1829,129,,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6091336203,-70.6557761791,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Gloucester,MA,North,1830,42,Edwin Seabury,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6119055489,-70.6513481682,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Gloucester,MA,West,1829,40,Levi Wheaton,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6125467799,-70.6556077617,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Hamilton,MA,,1714,156,J. H. Mordough,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6362052,-70.8431049,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Ipswich,MA,South,1747,207,Daniel Fitz,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6876645636,-70.847721755,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Lynnfield,MA,,1715,39,U. W. Condit,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.53869,-71.0465638,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Manchester,MA,,1716,265,Rufus Taylor,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.577834,-70.7675967,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Middleton,MA,,1729,181,J. A. Hood,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5950939,-71.0161643,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Rockport,MA,,1755,328,W. Gale,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.6556505,-70.620363,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Salem,MA,Crombie Street Church,1832,230,J. M. Hoppin,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.519386904,-70.8980932341,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Salem,MA,Howard Street Church,1803,97,E. W. Allen,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5210346545,-70.9016651227,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Salem,MA,Third Church,1775,347,B. Emerson; J. E. Dwinell,The Year-book of the American Congregational Union for the Year 1854 (p. 49),42.5280524747,-70.9050048969,https://archive.org/stream/americancongrega04amer#page/49/mode/1up
Ashfield,MA,,1763,180,William H. Gilber,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5264745,-72.788426,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Bernardston,MA,,1824,63,Charles Kendall,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.6710048,-72.5483277,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Buckland,MA,,1785,190,Asa B. Smith,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.592307,-72.7917601,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Charlemont,MA,East,1845,80,Aaron Foster,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.6320527742,-72.8741286344,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Charlemont,MA,West,1788,87,,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.6360529818,-72.8583554717,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Colerain,MA,,1750,42,,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.357756,-71.1364054,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Conway,MA,,1768,342,George M. Adams,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5098085,-72.6995349,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Deerfield,MA,[First Congregational Church],1835,85,Alfred E. Ives,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.540008522,-72.6118126682,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Deerfield,MA,South,1818,86,Moses K. Cross,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5416724605,-72.6099604452,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Deerfield,MA,Monument Church,1848,77,David A. Strong,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5407995156,-72.603676048,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Erving,MA,,1832,21,,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.6000863,-72.3981416,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Gill,MA,,1793,46,Josiah W. Canning; Edward F. Brooks,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.6408105,-72.4996367,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Greenfield,MA,First Church,1754,50,A. Chandler,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5942684532,-72.588617831,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Greenfield,MA,Second Church,1817,181,George C. Partridge,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5913373577,-72.603951495,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Hawley,MA,East,1793,97,Henry Seymour,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.5970755102,-72.9214072518,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Hawley,MA,West,1825,59,John Eastman,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.601189949,-72.9130497513,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
Heath,MA,,1785,117,Alpheus Graves,The Year-book of the American Congregational Union for the Year 1854 (p. 50),42.673417,-72.8217618,https://archive.org/stream/americancongrega04amer#page/50/mode/1up
